name,record,weight_class,nick_name
Chase Hooper,16-3-1 (W-L-D),Lightweight,"""The Dream"""
Darrell Horcher,13-4-0 (W-L-D),Lightweight,"""The Saint"""
Moti Horenstein,0-0-0 (W-L-D),Heavyweight,
Yoshinori Horie,0-1-0 (W-L-D),Featherweight,
Kyoji Horiguchi,18-2-0 (W-L-D),Flyweight,
Yuma Horiuchi,0-1-0 (W-L-D),Flyweight,
Jeremy Horn,88-19-5 (W-L-D),Middleweight,
Jamey-Lyn Horth,8-2-0 (W-L-D),Women's Flyweight,
Matt Horwich,24-11-1 (W-L-D),Middleweight,"""Suave, Sabretooth"""
Saeed Hosseini,0-0-0 (W-L-D),Lightweight,
Jeff Hougland,10-6-0 (W-L-D),Bantamweight,"""Hellbound"""
Brian Houston,4-2-0 (W-L-D),Middleweight,"""BHue"""
John Howard,23-12-0 (W-L-D),Welterweight,"""Doomsday"""
Harold Howard,0-0-0 (W-L-D),N/A,
Shane Howell,13-9-0 (W-L-D),Flyweight,
Carlos Huachin,10-5-1 (W-L-D),Bantamweight,"""Perro Malo"""
Brady Huang,11-2-0 (W-L-D),Bantamweight,
Austin Hubbard,17-9-0 (W-L-D),Lightweight,"""Thud"""
Collin Huckbody,1-0-0 (W-L-D),Middleweight,"""All In"""
Roger Huerta,22-3-1 (W-L-D),Lightweight,"""El Matador"""
Mark Hughes,0-0-0 (W-L-D),Middleweight,
Matt Hughes,46-9-0 (W-L-D),Welterweight,
Jeff Hughes,10-4-0 (W-L-D),Heavyweight,"""Lights Out"""
Sam Hughes,10-6-0 (W-L-D),Women's Strawweight,"""Sampage"""
Victor Hugo,25-5-0 (W-L-D),Featherweight,"""Striker"""
Harry Hunsucker,7-6-0 (W-L-D),Light Heavyweight,"""The Hurricane"""
Mark Hunt,13-14-1 (W-L-D),Heavyweight,"""Super Samoan"""
Adam Hunter,0-0-0 (W-L-D),Middleweight,"""Warhammer"""
Alex Hunter,0-0-0 (W-L-D),Heavyweight,
Solomon Hutcherson,10-2-0 (W-L-D),Middleweight,"""King"""
Al Iaquinta,14-7-1 (W-L-D),Lightweight,"""Raging"""
Khadis Ibragimov,8-4-0 (W-L-D),Light Heavyweight,
Minoki Ichihara,0-0-0 (W-L-D),N/A,
Dan Ige,19-9-0 (W-L-D),Featherweight,"""50K"""
Valeri Ignatov,0-0-0 (W-L-D),Lightweight,
Fabiano Iha,12-3-0 (W-L-D),Lightweight,
Nassourdine Imavov,16-4-0 (W-L-D),Middleweight,"""The Sniper"""
Brad Imes,6-3-0 (W-L-D),Heavyweight,
Chris Indich,5-3-0 (W-L-D),Welterweight,"""The Savage"""
Guto Inocente,6-4-0 (W-L-D),Light Heavyweight,
Mizuki,15-6-0 (W-L-D),Women's Strawweight,
Naoki Inoue,11-0-0 (W-L-D),Flyweight,
Enson Inoue,0-0-0 (W-L-D),Lightweight,
James Irvin,14-7-0 (W-L-D),Light Heavyweight,"""The Sandman"""
Issa Isakov,0-0-0 (W-L-D),Lightweight,
Teruto Ishihara,11-6-2 (W-L-D),Bantamweight,"""Yashabo"""
Damir Ismagulov,24-3-0 (W-L-D),Lightweight,"""Qazaq"""
Wallid Ismail,0-0-0 (W-L-D),Lightweight,
Leandro Issa,13-6-0 (W-L-D),Bantamweight,"""Brodinho"""
Alvaro Ivan Lopez Rodrigues,0-0-0 (W-L-D),Flyweight,
Blagoy Ivanov,19-6-0 (W-L-D),Heavyweight,"""Baga"""
Anthony Ivy,8-4-0 (W-L-D),Welterweight,"""Aquaman"""
Yoislandy Izquierdo,6-2-0 (W-L-D),Lightweight,"""Cuba"""
Yves Jabouin,20-11-0 (W-L-D),Bantamweight,"""Tiger"""
Damon Jackson,23-8-1 (W-L-D),Lightweight,"""The Leech"""
Mike Jackson,1-2-0 (W-L-D),Welterweight,"""The Truth"""
Jason Jackson,7-3-0 (W-L-D),Welterweight,"""Jah-Son"""
Rampage Jackson,35-11-0 (W-L-D),Light Heavyweight,
Jeremy Jackson,9-4-0 (W-L-D),Welterweight,
Kevin Jackson,0-0-0 (W-L-D),Middleweight,
Eugene Jackson,1-5-0 (W-L-D),Middleweight,"""The Wolf"""
Montel Jackson,16-2-0 (W-L-D),Bantamweight,"""Quik"""
Jordan Jackson,0-0-0 (W-L-D),Heavyweight,"""The Super Saiyan"""
Richard Jacobi,0-1-0 (W-L-D),Heavyweight,
Dustin Jacoby,21-9-1 (W-L-D),Light Heavyweight,"""The Hanyak"""
Justin James,22-5-0 (W-L-D),Lightweight,"""The Pretty Boy"""
Virna Jandiroba,22-3-0 (W-L-D),Women's Strawweight,"""Carcara"""
Ryan Janes,10-3-0 (W-L-D),Middleweight,
Keith Jardine,16-11-2 (W-L-D),Light Heavyweight,"""The Dean of Mean"""
Brock Jardine,9-3-0 (W-L-D),Welterweight,"""The Machine"""
Rony Jason,15-7-0 (W-L-D),Featherweight,"""Jason"""
Jasmine Jasudavicius,14-3-0 (W-L-D),Women's Flyweight,
Yazmin Jauregui,11-2-0 (W-L-D),Women's Strawweight,
Justin Jaynes,16-8-0 (W-L-D),Featherweight,"""The Guitar Hero"""
Joanna Jędrzejczyk,16-5-0 (W-L-D),Women's Strawweight,
Aaron Jeffery,6-2-0 (W-L-D),Middleweight,
Trent Jenkins,0-2-0 (W-L-D),Middleweight,
Jack Jenkins,13-4-0 (W-L-D),Featherweight,"""Phar"""
Brandon Jenkins,15-9-0 (W-L-D),Lightweight,"""The Human Highlight Reel"""
Steve Jennum,0-0-0 (W-L-D),N/A,
Kyle Jensen,0-0-0 (W-L-D),Welterweight,
Ryan Jensen,16-7-0 (W-L-D),Middleweight,
Chanmi Jeon,5-2-0 (W-L-D),Women's Strawweight,"""Ottogi Girl"""
Ronald Jhun,26-12-2 (W-L-D),Welterweight,"""The Machine Gun"""
Niushiyue Ji,2-2-0 (W-L-D),Flyweight,
Wuziazibieke Jiahefu,0-1-0 (W-L-D),Featherweight,
Baergeng Jieleyisi,18-7-0 (W-L-D),N/A,
Art Jimmerson,0-1-0 (W-L-D),Light Heavyweight,
Ryan Jimmo,19-5-0 (W-L-D),Light Heavyweight,"""The Big Deal"""
Asikeerbai Jinensibieke,0-0-0 (W-L-D),Lightweight,
Asikerbai Jinensibieke,0-0-0 (W-L-D),Lightweight,
Li Jingliang,19-9-0 (W-L-D),Welterweight,"""The Leech"""
Sung Bin Jo,9-1-0 (W-L-D),Featherweight,"""Korean Falcon"""
Miles Johns,15-3-0 (W-L-D),Bantamweight,"""Chapo"""
Brett Johns,17-2-0 (W-L-D),Bantamweight,"""The Pikey"""
Phil Johns,0-0-0 (W-L-D),Welterweight,"""Little Giant"""
Timothy Johnson,12-4-0 (W-L-D),Heavyweight,
Dashon Johnson,9-2-0 (W-L-D),Featherweight,"""Flyboy"""
Kajan Johnson,23-14-1 (W-L-D),Lightweight,"""Ragin'"""
Jordan Johnson,10-0-0 (W-L-D),Light Heavyweight,
Demetrious Johnson,27-3-1 (W-L-D),Flyweight,"""Mighty Mouse"""
DaMarques Johnson,18-12-0 (W-L-D),Welterweight,"""Darkness"""
Anthony Johnson,22-6-0 (W-L-D),Light Heavyweight,"""Rumble"""
Lavar Johnson,17-7-0 (W-L-D),Heavyweight,"""Big"""
Michael Johnson,24-19-0 (W-L-D),Lightweight,"""The Menace"""
Jose Johnson,16-10-0 (W-L-D),Flyweight,"""Lobo Solitario"""
Chad Johnson,6-2-0 (W-L-D),Heavyweight,
Charles Johnson,17-7-0 (W-L-D),Flyweight,"""Inner G"""
Tony Johnson,7-2-0 (W-L-D),Light Heavyweight,
Taylor Johnson,0-0-0 (W-L-D),Middleweight,
Brian Johnston,0-0-0 (W-L-D),Heavyweight,
Liana Jojua,8-5-0 (W-L-D),Women's Flyweight,"""She Wolf"""
Daniel Jolly,5-3-0 (W-L-D),Light Heavyweight,"""Werewolf of Texas"""
Mason Jones,12-2-0 (W-L-D),Lightweight,"""The Dragon"""
Jamelle Jones,7-5-0 (W-L-D),Light Heavyweight,"""The Beast"""
Justin Jones,9-2-0 (W-L-D),Middleweight,
Marcus Jones,4-3-0 (W-L-D),Heavyweight,"""Big Baby"""
Paul Jones,0-0-0 (W-L-D),Middleweight,
Antonio Jones,7-0-0 (W-L-D),Middleweight,
Trevin Jones,13-10-0 (W-L-D),Bantamweight,"""5 Star"""
Jon Jones,28-1-0 (W-L-D),Heavyweight,"""Bones"""
Jocelyn Jones-Lybarger,6-4-0 (W-L-D),Women's Strawweight,
Kevin Jordan,7-4-0 (W-L-D),Heavyweight,"""The Shaman"""
Shawn Jordan,18-7-0 (W-L-D),Heavyweight,"""The Savage"""
Ivan Jorge,26-5-0 (W-L-D),Lightweight,
Scott Jorgensen,15-12-0 (W-L-D),Bantamweight,"""Young Guns"""
Dwight Joseph,0-0-0 (W-L-D),Bantamweight,
Jeff Joslin,5-3-0 (W-L-D),Welterweight,"""The Inferno"""
Krzysztof Jotko,24-6-0 (W-L-D),Middleweight,
Alan Jouban,17-7-0 (W-L-D),Welterweight,"""Brahma"""
Charles Jourdain,16-8-1 (W-L-D),Bantamweight,"""Air"""
Kevin Jousset,10-4-0 (W-L-D),Welterweight,"""Air"""
Dustin Joynson,0-0-0 (W-L-D),Heavyweight,
Silvana Gomez Juarez,7-5-0 (W-L-D),Women's Strawweight,"""La Malvada"""
Anshul Jubli,7-2-0 (W-L-D),Lightweight,"""King of Lions"""
Carli Judice,4-2-0 (W-L-D),Women's Flyweight,"""Crispy """
Steve Judson,0-0-0 (W-L-D),Heavyweight,
Luke Jumeau,13-5-0 (W-L-D),Welterweight,"""The Jedi"""
Da Woon Jung,15-6-1 (W-L-D),Light Heavyweight,"""Sseda"""
Chan Sung Jung,17-8-0 (W-L-D),Featherweight,"""The Korean Zombie"""
Scott Junk,6-2-0 (W-L-D),Heavyweight,
Myles Jury,17-4-0 (W-L-D),Featherweight,"""Fury"""
Geza Kahlman Jr,0-0-0 (W-L-D),N/A,
Oron Kahlon,0-1-0 (W-L-D),Bantamweight,
Lu Kai,1-2-0 (W-L-D),Featherweight,
Sim Kai Xiong,1-1-0 (W-L-D),Flyweight,
Li Kaiwen,3-1-0 (W-L-D),Featherweight,
Sirwan Kakai,12-3-0 (W-L-D),Bantamweight,"""Zohan"""
Saidyokub Kakhramonov,10-3-0 (W-L-D),Bantamweight,
Kai Kamaka,8-4-1 (W-L-D),Featherweight,"""The Fighting Hawaiian"""
Shuya Kamikubo,1-1-0 (W-L-D),Bantamweight,
Martin Kampmann,20-7-0 (W-L-D),Welterweight,"""The Hitman"""
Koya Kanda,1-1-0 (W-L-D),Featherweight,
Bharat Kandare,5-3-0 (W-L-D),Bantamweight,"""Daring"""
Masanori Kanehara,25-13-5 (W-L-D),Bantamweight,
Denis Kang,32-12-1 (W-L-D),Middleweight,
Kyung Ho Kang,19-11-0 (W-L-D),Bantamweight,"""Mr. Perfect"""
Zhu Kangjie,3-0-0 (W-L-D),Featherweight,
Manel Kape,21-7-0 (W-L-D),Flyweight,"""StarBoy"""
Dave Kaplan,3-3-0 (W-L-D),Lightweight,"""Diamond"""
Alex Karalexis,8-2-0 (W-L-D),Welterweight,"""T-Rex"""
Ernesta Kareckaitė,6-1-1 (W-L-D),Women's Flyweight,"""Heavy-Handed"""
Impa Kasanganay,9-2-0 (W-L-D),Welterweight,"""Tshilobo"""
Jinnosuke Kashimura,0-1-0 (W-L-D),Lightweight,
Kerry Kasik,0-0-0 (W-L-D),Women's Strawweight,
Nadia Kassem,5-2-0 (W-L-D),Women's Flyweight,
Yusuke Kasuya,9-3-2 (W-L-D),Lightweight,
Brad Katona,16-5-0 (W-L-D),Bantamweight,"""Superman"""
Calvin Kattar,23-9-0 (W-L-D),Featherweight,
Sarah Kaufman,17-4-0 (W-L-D),Women's Bantamweight,
Lone’er Kavanagh,9-0-0 (W-L-D),Flyweight,
Canaan Kawaihae,4-2-0 (W-L-D),Featherweight,
Tatsuya Kawajiri,35-10-2 (W-L-D),Featherweight,"""The Crusher"""
Toshiomi Kazama,11-4-0 (W-L-D),Bantamweight,
Julie Kedzie,16-13-0 (W-L-D),Women's Bantamweight,"""Fireball"""
C.J. Keith,8-2-0 (W-L-D),Lightweight,
Chris Kelades,9-3-0 (W-L-D),Flyweight,"""The Greek Assassin"""
Brian Kelleher,24-16-0 (W-L-D),Bantamweight,"""Boom"""
Mayana Kellem,0-0-0 (W-L-D),Women's Bantamweight,
Tony Kelley,8-3-0 (W-L-D),Bantamweight,"""Primetime"""
Daniel Kelly,13-4-0 (W-L-D),Middleweight,
Paul Kelly,12-4-0 (W-L-D),Lightweight,"""Tellys"""
Song Kenan,22-9-0 (W-L-D),Welterweight,"""The Assassin"""
Jeremy Kennedy,11-1-0 (W-L-D),Featherweight,"""JBC"""
Steven Kennedy,22-8-0 (W-L-D),Welterweight,"""The Steamrolla"""
Tim Kennedy,18-6-0 (W-L-D),Middleweight,
Casey Kenney,16-4-1 (W-L-D),Bantamweight,
Maimaitituoheti Keremuaili,0-1-0 (W-L-D),Bantamweight,
Mark Kerr,13-3-0 (W-L-D),Heavyweight,"""The Titan"""
Rustam Khabilov,24-4-0 (W-L-D),Welterweight,"""Tiger"""
Adam Khaliev,6-0-0 (W-L-D),Welterweight,
Sergey Khandozhko,28-6-1 (W-L-D),Welterweight,"""Honda"""
Alfred Khashakyan,8-4-0 (W-L-D),Bantamweight,
Aliaskhab Khizriev,14-0-0 (W-L-D),Middleweight,"""Black Wolf"""
WonBin Ki,2-2-0 (W-L-D),Lightweight,
Pannie Kianzad,17-9-0 (W-L-D),Women's Bantamweight,"""Banzai"""
Katsunori Kikuno,23-8-2 (W-L-D),Featherweight,
Sinae Kikuta,0-0-0 (W-L-D),Middleweight,
Jacob Kilburn,8-4-0 (W-L-D),Featherweight,"""The Killer"""
Ji Yeon Kim,9-7-2 (W-L-D),Women's Flyweight,"""Firefist"""
So Yul Kim,0-0-0 (W-L-D),Women's Strawweight,
MinWoo Kim,0-0-0 (W-L-D),Bantamweight,
HanSeul Kim,1-2-0 (W-L-D),Welterweight,
Sang Won Kim,1-1-0 (W-L-D),Featherweight,
KyeongPyo Kim,1-1-0 (W-L-D),Lightweight,
Sangwook Kim,2-1-0 (W-L-D),Lightweight,
Dong Hyun Kim,22-4-1 (W-L-D),Welterweight,"""The Stun Gun"""
Jeremy Kimball,15-8-0 (W-L-D),Light Heavyweight,"""Grizzly"""
Rob Kimmons,23-7-0 (W-L-D),Middleweight,"""The Rosedale Reaper"""
Dustin Kimura,12-3-0 (W-L-D),Bantamweight,"""The Diamond"""
Mike King,5-1-0 (W-L-D),Middleweight,
Kyle Kingsbury,11-6-0 (W-L-D),Light Heavyweight,"""Kingsbu"""
Yusaku Kinoshita,6-3-0 (W-L-D),Welterweight,
Kamuela Kirk,12-6-0 (W-L-D),Lightweight,"""The Jawaiian"""
Justine Kish,7-4-0 (W-L-D),Women's Flyweight,
Koji Kitao,0-0-0 (W-L-D),N/A,
Top Noi Kiwram,1-2-0 (W-L-D),Flyweight,"""""Tiger Muay Thai"""""
Ludovit Klein,23-5-1 (W-L-D),Lightweight,"""Mr. Highlight"""
Nick Klein,6-2-0 (W-L-D),Middleweight,"""Blue Collar"""
Fatima Kline,7-1-0 (W-L-D),Women's Strawweight,"""The Archangel"""
Felix Klinkhammer,0-0-0 (W-L-D),Welterweight,
Drakkar Klose,15-3-1 (W-L-D),Lightweight,
Jason Knight,20-6-0 (W-L-D),Featherweight,"""The Kid"""
William Knight,11-5-0 (W-L-D),Light Heavyweight,"""Nightmare"""
Josefine Knutsson,8-1-0 (W-L-D),Women's Strawweight,"""Thunder"""
Seokhyeon Ko,12-2-0 (W-L-D),Welterweight,"""The Korean Tyson"""
Erik Koch,16-6-0 (W-L-D),Welterweight,"""New Breed"""
Brad Kohler,0-0-0 (W-L-D),Heavyweight,
Kaloyan Kolev,0-1-0 (W-L-D),Light Heavyweight,
John Kolosci,8-5-0 (W-L-D),Welterweight,
Syuri Kondo,6-3-0 (W-L-D),Women's Strawweight,
Yuki Kondo,0-0-0 (W-L-D),Light Heavyweight,
Cheick Kongo,28-8-2 (W-L-D),Heavyweight,
Jon Koppenhaver,6-2-0 (W-L-D),Welterweight,
Roman Kopylov,14-3-0 (W-L-D),Middleweight,
Bruno Korea,4-3-0 (W-L-D),Flyweight,
Tsuyoshi Kosaka,18-9-1 (W-L-D),Heavyweight,"""TK"""
Josh Koscheck,19-10-0 (W-L-D),Welterweight,
Steven Koslow,6-1-0 (W-L-D),Bantamweight,"""Obi Won Shinobi The Pillow"""
Naoyuki Kotani,33-13-7 (W-L-D),Lightweight,
Karolina Kowalkiewicz,16-9-0 (W-L-D),Women's Strawweight,
Derrick Krantz,24-12-0 (W-L-D),Welterweight,"""D-Rock"""
James Krause,28-9-0 (W-L-D),Welterweight,"""The James Krause"""
Pascal Krauss,11-2-0 (W-L-D),Welterweight,"""Panzer"""
Kaynan Kruschewsky,15-3-0 (W-L-D),Lightweight,"""Bahia"""
Jorgen Kruth,5-0-0 (W-L-D),Light Heavyweight,"""The Last Viking"""
Nikita Krylov,30-10-0 (W-L-D),Light Heavyweight,"""The Miner"""
Mariusz Ksiazkiewicz,0-1-0 (W-L-D),Middleweight,
Michael Kuiper,12-3-0 (W-L-D),Middleweight,
Anton Kuivanen,17-6-0 (W-L-D),Lightweight,
Sumit Kumar,0-1-0 (W-L-D),Flyweight,
Aleksei Kunchenko,20-2-0 (W-L-D),Welterweight,
Rizvan Kuniev,12-3-1 (W-L-D),Heavyweight,
Keigo Kunihara,3-3-0 (W-L-D),Heavyweight,
Kiichi Kunimoto,19-6-2 (W-L-D),Welterweight,"""Strasser"""
Leo Kuntz,17-3-1 (W-L-D),Lightweight,"""The Lion"""
Korey Kuppe,8-4-0 (W-L-D),Welterweight,
Ramazan Kuramagomedov,1-0-0 (W-L-D),Middleweight,
Guram Kutateladze,13-5-0 (W-L-D),Lightweight,"""Georgian Viking"""
Kwan Ho Kwak,9-2-0 (W-L-D),Bantamweight,"""The Handsome"""
Mike Kyle,19-9-1 (W-L-D),Light Heavyweight,"""MAK"""
Luan Lacerda,12-3-0 (W-L-D),Bantamweight,
Daniel Lacerda,11-6-0 (W-L-D),Flyweight,"""Miojo"""
Aspen Ladd,9-3-0 (W-L-D),Women's Bantamweight,
Ryan LaFlare,13-3-0 (W-L-D),Welterweight,
Corinne Laframboise,0-1-0 (W-L-D),Women's Flyweight,
Noad Lahat,9-2-0 (W-L-D),Featherweight,"""Neo"""
Tina Lahdemaki,5-1-0 (W-L-D),Women's Strawweight,"""Jelly Bean"""
Yohan Lainesse,9-3-0 (W-L-D),Welterweight,"""White Lion"""
Tim Lajcik,11-4-1 (W-L-D),Heavyweight,"""The Bohemian"""
Sean Lally,8-4-0 (W-L-D),Welterweight,"""The Unpredictable One"""
Ricardo Lamas,20-8-0 (W-L-D),Featherweight,"""The Bully"""
Jason Lambert,23-8-0 (W-L-D),Middleweight,"""The Punisher"""
Nate Landwehr,18-6-0 (W-L-D),Featherweight,"""The Train"""
Austen Lane,13-6-0 (W-L-D),Heavyweight,
Lina Lansberg,10-8-0 (W-L-D),Women's Bantamweight,"""Elbow Queen"""
Taylor Lapilus,21-4-0 (W-L-D),Bantamweight,"""Double Impact"""
Chad Laprise,14-4-0 (W-L-D),Welterweight,"""The Disciple"""
Anthony Lapsley,25-7-0 (W-L-D),Welterweight,"""The Recipe"""
TJ Laramie,12-5-0 (W-L-D),Featherweight,
Icho Larenas,3-2-0 (W-L-D),Heavyweight,
Lorenz Larkin,18-5-0 (W-L-D),Welterweight,"""The Monsoon"""
Jeremy Larsen,8-5-0 (W-L-D),Featherweight,
Brock Larson,27-4-0 (W-L-D),Welterweight,
Ilir Latifi,17-9-0 (W-L-D),Heavyweight,"""The Sledgehammer"""
Sione Latu,0-0-0 (W-L-D),Heavyweight,
Jenel Lausa,7-4-0 (W-L-D),Flyweight,"""The Demolition Man"""
Dan Lauzon,12-4-0 (W-L-D),Lightweight,"""The Upgrade"""
Joe Lauzon,28-16-0 (W-L-D),Lightweight,
Sandra Lavado,0-1-0 (W-L-D),Women's Strawweight,
Robbie Lawler,30-16-0 (W-L-D),Welterweight,"""Ruthless"""
Tom Lawlor,10-6-0 (W-L-D),Light Heavyweight,"""Filthy"""
Justin Lawrence,4-2-0 (W-L-D),Featherweight,"""The American Kidd"""
Ronnie Lawrence,8-2-0 (W-L-D),Bantamweight,"""The Heat"""
Lance Lawrence,5-0-0 (W-L-D),Featherweight,"""The Tornado"""
Jimmy Lawson,0-1-0 (W-L-D),Heavyweight,
Valmir Lazaro,13-4-0 (W-L-D),Lightweight,"""Bidu"""
Zviad Lazishvili,13-1-0 (W-L-D),Bantamweight,
Mounir Lazzez,11-3-0 (W-L-D),Welterweight,"""The Sniper"""
Thanh Le,7-1-0 (W-L-D),Featherweight,
Cung Le,9-3-0 (W-L-D),Middleweight,
Quang Le,9-2-0 (W-L-D),Bantamweight,"""Bang"""
Carlos Leal,22-6-0 (W-L-D),Welterweight,"""The Lion"""
Jordan Leavitt,12-3-0 (W-L-D),Lightweight,"""The Monkey King"""
Chris Leben,22-11-0 (W-L-D),Middleweight,"""The Crippler"""
Mickael Lebout,14-5-1 (W-L-D),Lightweight,"""Ragnar"""
Justin Ledet,9-4-0 (W-L-D),Light Heavyweight,"""El Blanco"""
Rocky Lee,3-1-0 (W-L-D),Featherweight,
Kevin Lee,18-8-0 (W-L-D),Welterweight,"""The Motown Phenom"""
David Lee,5-2-0 (W-L-D),Lightweight,
James Lee,25-3-0 (W-L-D),Light Heavyweight,
Jackie Lee,0-0-0 (W-L-D),Lightweight,
Vaughan Lee,14-11-1 (W-L-D),Bantamweight,
Andrea Lee,13-11-0 (W-L-D),Women's Flyweight,"""KGB"""
ChangHo Lee,11-1-0 (W-L-D),Bantamweight,
Jung Hyun Lee,0-1-0 (W-L-D),Flyweight,
JeongYeong Lee,11-3-0 (W-L-D),Featherweight,"""Korean Tiger"""
Cheyden Leialoha,6-1-0 (W-L-D),Bantamweight,"""Steadfast"""
Christophe Leininger,0-0-0 (W-L-D),Lightweight,
Claudia Leite,0-1-0 (W-L-D),Women's Bantamweight,
Thales Leites,27-9-0 (W-L-D),Middleweight,
Giacomo Lemos,6-0-0 (W-L-D),Heavyweight,"""The Viking"""
Amanda Lemos,15-4-1 (W-L-D),Women's Strawweight,
Jesse Lennox,15-3-0 (W-L-D),Welterweight,"""The Ox"""
Nik Lentz,30-12-2 (W-L-D),Featherweight,"""The Carny"""
Alberto Cerro Leon,0-0-0 (W-L-D),N/A,
Victoria Leonardo,9-7-0 (W-L-D),Women's Flyweight,"""Fury"""
Anthony Leone,0-0-0 (W-L-D),Bantamweight,
Kimo Leopoldo,10-4-1 (W-L-D),Heavyweight,"""Kimo"""
Brock Lesnar,6-3-0 (W-L-D),Heavyweight,
Frank Lester,3-5-0 (W-L-D),Welterweight,"""The Tank"""
Valerie Letourneau,8-6-0 (W-L-D),Women's Strawweight,"""Trouble"""
Leah Letson,5-3-0 (W-L-D),Women's Featherweight,"""Nidas"""
Justin Levens,7-2-0 (W-L-D),Middleweight,"""Executioner"""
Marcus LeVesseur,22-7-0 (W-L-D),Lightweight,"""The Prospect"""
David Levicki,0-0-0 (W-L-D),N/A,
Natan Levy,8-2-0 (W-L-D),Lightweight,
John Lewis,0-0-0 (W-L-D),Lightweight,
Bevon Lewis,8-3-0 (W-L-D),Middleweight,
Malik Lewis,0-2-0 (W-L-D),Lightweight,
Brandon Lewis,0-2-0 (W-L-D),Bantamweight,
Derrick Lewis,28-12-0 (W-L-D),Heavyweight,"""The Black Beast"""
Chi Lewis-Parry,0-0-0 (W-L-D),Heavyweight,
Liang Na,17-8-0 (W-L-D),Women's Flyweight,"""The Dragon Girl"""
Jess Liaudin,12-11-0 (W-L-D),Lightweight,"""The Joker"""
Chuck Liddell,21-8-0 (W-L-D),Light Heavyweight,"""The Iceman"""
Rodrigo Lidio,0-1-0 (W-L-D),Lightweight,
Zach Light,5-1-0 (W-L-D),Welterweight,"""The Lisbon Outlaw"""
Chris Ligouri,2-2-0 (W-L-D),Middleweight,
Hyun Gyu Lim,13-7-1 (W-L-D),Welterweight,"""The Ace"""
Mabelly Lima,0-0-0 (W-L-D),Women's Bantamweight,
Felipe Lima,14-2-0 (W-L-D),Bantamweight,"""Jungle Boy"""
Juliana Lima,9-5-0 (W-L-D),Women's Strawweight,"""Ju Thai"""
Dhiego Lima,17-9-0 (W-L-D),Welterweight,
Andre Lima,11-0-0 (W-L-D),Flyweight,"""Mascote"""
Matt Lindland,15-3-0 (W-L-D),Middleweight,"""The Law"""
Jake Lindsey,9-3-0 (W-L-D),Lightweight,"""The Librarian"""
John Lineker,31-9-0 (W-L-D),Bantamweight,"""Hands of Stone"""
Austin Lingo,9-3-0 (W-L-D),Featherweight,"""Lights Out"""
Lucio Linhares,13-6-0 (W-L-D),Middleweight,"""The Spartan"""
Philipe Lins,18-5-0 (W-L-D),Light Heavyweight,"""Monstro"""
Zhang Lipeng,9-9-1 (W-L-D),Lightweight,"""The Warrior"""
Tainara Lisboa,7-3-0 (W-L-D),Women's Bantamweight,"""Thai Panther"""
Dean Lister,11-6-0 (W-L-D),Middleweight,"""The Boogeyman"""
Pingyuan Liu,13-7-0 (W-L-D),Bantamweight,
James Llontop,14-5-0 (W-L-D),Lightweight,"""Goku"""
Abner Lloveras,19-8-1 (W-L-D),Lightweight,"""Skullman"""
John Lober,0-0-0 (W-L-D),Middleweight,
Artem Lobov,14-15-1 (W-L-D),Featherweight,"""The Russian Hammer"""
Dylan Lockard,0-0-0 (W-L-D),Featherweight,
Ryan Loder,8-2-0 (W-L-D),Middleweight,"""Man of Steel"""
Sean Loeffler,25-5-0 (W-L-D),Middleweight,"""The Destroyer"""
Christian Lohsen,0-0-0 (W-L-D),Lightweight,
David Loiseau,18-10-0 (W-L-D),Middleweight,"""The Crow"""
Hector Lombard,34-9-1 (W-L-D),Middleweight,"""Showeather"""
Michael Lombardo,11-2-0 (W-L-D),Welterweight,"""The Don"""
Xiao Long,27-8-0 (W-L-D),Bantamweight,
Loma Lookboonmee,10-3-0 (W-L-D),Women's Strawweight,
Ange Loosa,10-5-0 (W-L-D),Welterweight,"""The Last Ninja"""
Dileno Lopes,19-3-0 (W-L-D),Bantamweight,
Bruno Lopes,14-2-0 (W-L-D),Light Heavyweight,
Diego Lopes,26-7-0 (W-L-D),Featherweight,
Matthew Lopez,10-5-0 (W-L-D),Bantamweight,
Benito Lopez,10-2-0 (W-L-D),Bantamweight,"""Golden Boy"""
Steve Lopez,12-3-0 (W-L-D),Lightweight,
Jorge Lopez,11-3-0 (W-L-D),Welterweight,
Gustavo Lopez,12-6-1 (W-L-D),Bantamweight,
Brendan Loughnane,16-4-0 (W-L-D),Lightweight,
Nate Loughran,0-0-0 (W-L-D),Middleweight,
Caolán Loughran,10-2-0 (W-L-D),Bantamweight,"""The Don"""
Ian Loveland,14-9-0 (W-L-D),Bantamweight,"""The Barn Owl"""
Waylon Lowe,10-4-0 (W-L-D),Lightweight,
Joseph Lowry,7-2-0 (W-L-D),Lightweight,
Robert Lucarelli,0-0-0 (W-L-D),N/A,
Matt Lucas,14-3-0 (W-L-D),Light Heavyweight,"""Luke Duke"""
Iasmin Lucindo,17-6-0 (W-L-D),Women's Strawweight,
Duane Ludwig,29-14-0 (W-L-D),Welterweight,"""Bang"""
Mike Lullo,8-3-0 (W-L-D),Featherweight,
Qiu Lun,1-2-0 (W-L-D),Flyweight,
Dalcha Lungiambula,11-6-0 (W-L-D),Middleweight,"""Champion"""
Vicente Luque,23-11-1 (W-L-D),Welterweight,"""The Silent Assassin"""
Thaddeus Luster,0-0-0 (W-L-D),N/A,
