name,record,weight_class,nick_name
Khusein Askhabov,23-1-0 (W-L-D),Featherweight,"""Nohcho"""
Scott Askham,14-4-0 (W-L-D),Middleweight,
Ben Askren,19-2-0 (W-L-D),Welterweight,"""Funky"""
Ibo Aslan,14-2-0 (W-L-D),Light Heavyweight,"""The Last Ottoman"""
Tom Aspinall,15-3-0 (W-L-D),Heavyweight,
Bruno Assis,0-0-0 (W-L-D),Middleweight,
Raphael Assunção,28-10-0 (W-L-D),Bantamweight,
Junior Assuncao,14-5-0 (W-L-D),Featherweight,
Michael Aswell,10-3-0 (W-L-D),Lightweight,"""The Texas Kid"""
Rich Attonito,10-5-0 (W-L-D),Welterweight,"""The Raging Bull"""
Olivier Aubin-Mercier,12-5-0 (W-L-D),Lightweight,"""The Canadian Gangster"""
Pat Audinwood,9-2-1 (W-L-D),Lightweight,"""Awesomely Awesome"""
Jose Augusto,0-0-0 (W-L-D),Light Heavyweight,
Leonardo Augusto Leleco,11-3-0 (W-L-D),Middleweight,
Marcus Aurelio,18-8-0 (W-L-D),Lightweight,"""Maximus"""
Chris Avila,5-4-0 (W-L-D),Featherweight,
Julia Avila,9-4-0 (W-L-D),Women's Bantamweight,"""Raging Panda"""
Jessin Ayari,16-6-0 (W-L-D),Lightweight,
Ottman Azaitar,13-3-0 (W-L-D),Lightweight,"""Bulldozer"""
Abu Azaitar,14-4-1 (W-L-D),Middleweight,"""Captain Morocco"""
Hunter Azure,9-2-0 (W-L-D),Bantamweight,
Niklas Backstrom,8-2-0 (W-L-D),Featherweight,
Seth Baczynski,18-11-0 (W-L-D),Welterweight,"""Polish Pistola"""
Abdul Azeem Badakhshi,0-0-0 (W-L-D),Featherweight,
Ryan Bader,22-5-0 (W-L-D),Light Heavyweight,"""Darth"""
Izabela Badurek,5-3-0 (W-L-D),Women's Strawweight,
Miguel Baeza,10-4-0 (W-L-D),Welterweight,"""Caramel Thunder"""
Ali Bagautinov,14-5-0 (W-L-D),Flyweight,"""Puncher"""
Mehdi Baghdad,11-4-0 (W-L-D),Lightweight,"""The Sultan"""
Melsik Baghdasaryan,8-3-0 (W-L-D),Featherweight,"""The Gun"""
Siyar Bahadurzada,24-8-1 (W-L-D),Welterweight,"""The Great"""
Ignacio Bahamondes,17-6-0 (W-L-D),Lightweight,"""La Jaula"""
Shamar Bailey,12-5-0 (W-L-D),Lightweight,
Scott Baker,0-0-0 (W-L-D),N/A,
Oluwale Bamgbose,6-4-0 (W-L-D),Middleweight,"""Holy War Angel"""
Marcin Bandel,13-4-0 (W-L-D),Lightweight,"""Bomba"""
Humberto Bandenay,14-7-0 (W-L-D),Featherweight,
Tae Hyun Bang,18-10-0 (W-L-D),Lightweight,"""The Korean Cowboy"""
Shauna Bannon,7-1-0 (W-L-D),Women's Strawweight,"""Mama B"""
Antonio Banuelos,19-7-0 (W-L-D),Bantamweight,
Renan Barao,36-9-0 (W-L-D),Bantamweight,"""The Baron"""
Maycee Barber,14-2-0 (W-L-D),Women's Flyweight,"""The Future"""
Bryan Barberena,18-12-0 (W-L-D),Middleweight,"""Bam Bam"""
Dione Barbosa,8-3-0 (W-L-D),Women's Flyweight,"""The Witch"""
Edson Barboza,24-12-0 (W-L-D),Lightweight,"""Junior"""
Raoni Barcelos,20-5-0 (W-L-D),Bantamweight,
Carlos Baretto,0-0-0 (W-L-D),Heavyweight,
Daniel Barez,17-7-0 (W-L-D),Flyweight,
Danny Barlow,9-1-0 (W-L-D),Welterweight,"""LeftHand2God"""
Luke Barnatt,8-3-0 (W-L-D),Middleweight,"""The Bigslow"""
Shonte Barnes,0-1-0 (W-L-D),Middleweight,"""Shyne"""
James Barnes,0-1-0 (W-L-D),Bantamweight,"""Mooka"""
Josh Barnett,35-8-0 (W-L-D),Heavyweight,"""The Warmaster"""
Chris Barnett,23-9-0 (W-L-D),Heavyweight,"""Beastboy"""
David Baron,14-3-0 (W-L-D),Lightweight,
Phil Baroni,13-13-0 (W-L-D),Middleweight,"""New York Bad Ass"""
Dan Barrera,1-1-0 (W-L-D),Welterweight,
Peter Barrett,11-5-0 (W-L-D),Featherweight,"""Slippery"""
Marc-Andre Barriault,17-9-0 (W-L-D),Middleweight,"""Powerbar"""
Alexandre Barros,13-6-0 (W-L-D),Welterweight,"""Baixinho"""
Francimar Barroso,19-7-0 (W-L-D),Light Heavyweight,"""Bodao"""
Pat Barry,8-7-0 (W-L-D),Heavyweight,"""HD"""
Dean Barry,4-2-0 (W-L-D),Welterweight,"""The Sniper"""
Enrique Barzola,17-5-2 (W-L-D),Bantamweight,"""El Fuerte"""
Farid Basharat,13-0-0 (W-L-D),Featherweight,"""Ferocious"""
Javid Basharat,14-2-0 (W-L-D),Bantamweight,"""The Snow Leopard"""
Austin Bashi,13-1-0 (W-L-D),Featherweight,
Stephen Bass,10-1-0 (W-L-D),Featherweight,"""Bigfish"""
Shayna Baszler,15-10-0 (W-L-D),Women's Bantamweight,"""The Queen of Spades"""
Bahatebole Batebolati,2-0-0 (W-L-D),Lightweight,
